id,ethnicity,gender,age,location,bbtype,wfreq,city,state
1531,Caucasian,M,39.0,NC,I,2.0,,NC
1532,Caucasian,F,38.0,NC,I,0.0,,NC
1533,Black,M,37.0,NC,o,0.0,,NC
1534,Caucasian,F,42.0,NC,I,0.0,,NC
1535,Caucasian,M,35.0,NC,I,7.0,,NC
1536,Caucasian,F,26.0,NC,I,7.0,,NC
1537,Caucasian,M,28.0,NC,I,0.0,,NC
1539,Caucasian,F,39.0,NC,I,7.0,,NC
1540,Caucasian,M,30.0,NC,I,0.0,,NC
1541,Caucasian,F,26.0,NC,I,0.0,,NC
1542,Caucasian,M,36.0,NC,I,,,NC
1543,Caucasian,F,34.0,NC,I,3.0,,NC
1544,Caucasian,F,33.0,NC,I,1.0,,NC
1545,Caucasian,F,39.0,NC,I,7.0,,NC
1546,Caucasian,M,34.0,NC,I,3.0,,NC
1547,,M,38.0,NC,I,0.0,,NC
1548,Caucasian,M,6.0,NC,I,0.0,,NC
1549,Caucasian,F,37.0,NC,I,3.0,,NC
1550,Caucasian,F,29.0,NC,I,7.0,,NC
1551,Caucasian,M,26.0,NC,I,0.0,,NC
1552,Caucasian,M,25.0,NC,I,3.0,,NC
1553,Caucasian,F,50.0,NC,I,0.0,,NC
1554,Caucasian,F,18.0,NC,I,0.0,,NC
1555,Caucasian,M,26.0,NC,I,0.0,,NC
1556,Hispanic,M,34.0,NC,I,0.0,,NC
1557,Caucasian,F,26.0,NC,I,2.0,,NC
1558,Caucasian,M,26.0,NC,I,1.0,,NC
1561,Caucasian,M,31.0,NC,I,2.0,,NC
1562,Caucasian,M,39.0,MT,I,0.0,,MT
1563,Caucasian,F,31.0,MT,I,0.0,,MT
1564,Caucasian,F,36.0,NC,I,5.0,,NC
1572,Caucasian,F,33.0,NC,I,0.0,,NC
1573,Caucasian,M,53.0,NC,I,0.0,,NC
1574,Caucasian,M,30.0,OK,I,7.0,,OK
1576,Caucasian,F,33.0,NC,I,0.0,,NC
1577,Caucasian,M,26.0,NC,I,0.0,,NC
1581,Asian(American),F,22.0,NC,I,2.0,,NC
1601,Caucasian,F,22.0,NC,I,2.0,,NC
